Run	BioProject	SRA_sampleName	tissue	SampleName	replicateName	Sex	DevStage_plant	Part	DevStage_Tissue	Layout	oldreplicateName
SRR10600890	PRJNA560453	Female Maturing plant - reproductive leaf	Leaf	Sample3_Leaf	Sample3_Leaf_1	Female	Maturing	Leaf	NA	Paired	PRJNA560453_FemaleReproductiveLeaf_Maturing_1
SRR10600894	PRJNA560453	Female Reproductive immature bud	Flower	Sample4_Bud	Sample4_Bud_1	Female	Mature	Bud	Immature	Paired	PRJNA560453_FemaleReproductiveBud_immature_1
SRR10600895	PRJNA560453	Female Reproductive leaf	Leaf	Sample5_Leaf	Sample5_Leaf_1	Female	NA	Leaf	NA	Paired	NA
SRR10600887	PRJNA560453	Female Vegetative leaf	Leaf	Sample5_Leaf	Sample5_Leaf_1	Female	NA	Leaf	NA	Paired	NA
SRR10600885	PRJNA560453	Female Root-mid	Root	Sample6_Mid	Sample6_Mid_1	Female	NA	Mid	NA	Paired	PRJNA560453_FemaleRootMid_unknown_1
SRR10600884	PRJNA560453	Female Root-tip	Root	Sample6_Tip	Sample6_Tip_1	Female	NA	Tip	NA	Paired	PRJNA560453_FemaleRootTip_unknown_1
SRR10600898	PRJNA560453	Female Vegetative leaf - mature mother plant	Leaf	Sample7_Leaf	Sample7_Leaf_1	Female	Mature	Leaf	Fresh	Paired	NA
SRR10600897	PRJNA560453	Female Vegetative leaf - mature mother plant	Leaf	Sample7_Leaf	Sample7_Leaf_2	Female	Mature	Leaf	Fresh	Paired	NA
SRR10600944	PRJNA560453	Female_Flower_Stage1	Flower	Sample8_Flower	Sample8_Flower_1	Female	Mature	Flower	Stage1	Paired	PRJNA560453_FemaleFlower_Stage1_1
SRR10600943	PRJNA560453	Female_Flower_Stage1	Flower	Sample8_Flower	Sample8_Flower_2	Female	Mature	Flower	Stage1	Paired	PRJNA560453_FemaleFlower_Stage1_2
SRR10600932	PRJNA560453	Female_Flower_Stage1	Flower	Sample8_Flower	Sample8_Flower_3	Female	Mature	Flower	Stage1	Paired	PRJNA560453_FemaleFlower_Stage1_3
SRR10600921	PRJNA560453	Female_Flower_Stage1	Flower	Sample8_Flower	Sample8_Flower_4	Female	Mature	Flower	Stage1	Paired	PRJNA560453_FemaleFlower_Stage1_4
SRR10600910	PRJNA560453	Female_Flower_Stage1	Flower	Sample8_Flower	Sample8_Flower_5	Female	Mature	Flower	Stage1	Paired	PRJNA560453_FemaleFlower_Stage1_5
SRR10600899	PRJNA560453	Female_Flower_Stage1	Flower	Sample8_Flower	Sample8_Flower_6	Female	Mature	Flower	Stage1	Paired	PRJNA560453_FemaleFlower_Stage1_6
SRR10600888	PRJNA560453	Female_Flower_Stage2	Flower	Sample9_Flower	Sample9_Flower_1	Female	Mature	Flower	Stage2	Paired	PRJNA560453_FemaleFlower_Stage2_1
SRR10600877	PRJNA560453	Female_Flower_Stage2	Flower	Sample9_Flower	Sample9_Flower_2	Female	Mature	Flower	Stage2	Paired	PRJNA560453_FemaleFlower_Stage2_2
SRR10600875	PRJNA560453	Female_Flower_Stage2	Flower	Sample9_Flower	Sample9_Flower_3	Female	Mature	Flower	Stage2	Paired	PRJNA560453_FemaleFlower_Stage2_3
SRR10600874	PRJNA560453	Female_Flower_Stage2	Flower	Sample9_Flower	Sample9_Flower_4	Female	Mature	Flower	Stage2	Paired	PRJNA560453_FemaleFlower_Stage2_4
SRR10600942	PRJNA560453	Female_Flower_Stage2	Flower	Sample9_Flower	Sample9_Flower_5	Female	Mature	Flower	Stage2	Paired	PRJNA560453_FemaleFlower_Stage2_5
SRR10600941	PRJNA560453	Female_Flower_Stage2	Flower	Sample9_Flower	Sample9_Flower_6	Female	Mature	Flower	Stage2	Paired	PRJNA560453_FemaleFlower_Stage2_6
SRR192369	PRJNA80055	CSA_S_RE	Flower	Sample21_Bud	Sample21_Bud_4	NA	NA	Bud	Young	Paired	PRJNA80055_Flower_unknown_4
SRR306884	PRJNA80055	CSA_S_AP	Flower	Sample22_Bud	Sample22_Bud_1	NA	Mature	Bud	Young	Single	PRJNA80055_Flower_unknown_1
SRR306867	PRJNA80055	CSA_S_AG	Flower	Sample22_Bud	Sample22_Bud_2	NA	Mature	Bud	Young	Single	PRJNA80055_Flower_unknown_2
SRR306866	PRJNA80055	CSA_S_AF	Flower	Sample22_Bud	Sample22_Bud_3	NA	Mature	Bud	Young	Single	PRJNA80055_Flower_unknown_3
SRR306870	PRJNA80055	CSA_S_AJ	Flower	Sample23_Flower	Sample23_Flower_1	NA	Mature	Flower	Mature	Single	PRJNA80055_Flower_Mature_1
SRR306869	PRJNA80055	CSA_S_AI	Flower	Sample23_Flower	Sample23_Flower_2	NA	Mature	Flower	Mature	Single	PRJNA80055_Flower_Mature_2
SRR306868	PRJNA80055	CSA_S_AH	Flower	Sample23_Flower	Sample23_Flower_3	NA	Mature	Flower	Mature	Single	PRJNA80055_Flower_Mature_3
SRR192370	PRJNA80055	CSA_S_RF	Flower	Sample23_Flower	Sample23_Flower_4	NA	Mature	Flower	Mature	Paired	PRJNA80055_Flower_Mature_4
SRR306886	PRJNA80055	CSA_S_AR	Leaf	Sample24_Leaf	Sample24_Leaf_1	NA	NA	Leaf	Mature	Single	PRJNA80055_Leaf_Mature_1
SRR306885	PRJNA80055	CSA_S_AQ	Leaf	Sample24_Leaf	Sample24_Leaf_2	NA	NA	Leaf	Mature	Single	PRJNA80055_Leaf_Mature_2
SRR306875	PRJNA80055	CSA_S_AN	Leaf	Sample24_Leaf	Sample24_Leaf_3	NA	NA	Leaf	Mature	Single	PRJNA80055_Leaf_Mature_3
SRR192371	PRJNA80055	CSA_S_RG	Leaf	Sample25_Leaf	Sample25_Leaf_4	NA	NA	Leaf	MatureAndYoung	Paired	PRJNA80055_Leaf_MatureYoung_1
SRR306874	PRJNA80055	CSA_S_AM	Leaf	Sample26_Leaf	Sample26_Leaf_1	NA	NA	Leaf	Young	Single	PRJNA80055_Leaf_Young_3
SRR306872	PRJNA80055	CSA_S_AL	Leaf	Sample26_Leaf	Sample26_Leaf_2	NA	NA	Leaf	Young	Single	PRJNA80055_Leaf_Young_2
SRR306871	PRJNA80055	CSA_S_AK	Leaf	Sample26_Leaf	Sample26_Leaf_3	NA	NA	Leaf	Young	Single	PRJNA80055_Leaf_Young_1
SRR306865	PRJNA80055	CSA_S_AE	Petiole	Sample27_Petiole	Sample27_Petiole_1	NA	NA	Petiole	NA	Single	PRJNA80055_Petiole_unknown_1
SRR306864	PRJNA80055	CSA_S_AD	Petiole	Sample27_Petiole	Sample27_Petiole_2	NA	NA	Petiole	NA	Single	PRJNA80055_Petiole_unknown_2
SRR306863	PRJNA80055	CSA_S_AC	Root	Sample28_Root	Sample28_Root_1	NA	NA	Root	NA	Single	PRJNA80055_Root_unknown_1
SRR306862	PRJNA80055	CSA_S_AB	Root	Sample28_Root	Sample28_Root_2	NA	NA	Root	NA	Single	PRJNA80055_Root_unknown_2
SRR306861	PRJNA80055	CSA_S_AA	Root	Sample28_Root	Sample28_Root_3	NA	NA	Root	NA	Single	PRJNA80055_Root_unknown_3
SRR192372	PRJNA80055	CSA_S_RH	Root	Sample28_Root	Sample28_Root_4	NA	NA	Root	NA	Paired	PRJNA80055_Root_unknown_4
SRR306877	PRJNA80055	CSA_S_AO	Stem	Sample29_Stem	Sample29_Stem_1	NA	NA	Stem	NA	Single	PRJNA80055_PrimaryStem_unknown_1
SRR192373	PRJNA80055	CSA_S_RI	Stem	Sample29_Stem	Sample29_Stem_2	NA	NA	Stem	NA	Paired	PRJNA80055_PrimaryStem_unknown_2
SRR351932	PRJNA73819	FN-MFLW	Flower	Sample30_Flower	Sample30_Flower_1	NA	Mature	Flower	MidStage	Single	PRJNA73819_Flower_MidStage_3
SRR351933	PRJNA73819	FN-MFLW	Flower	Sample30_Flower	Sample30_Flower_2	NA	Mature	Flower	MidStage	Single	PRJNA73819_Flower_MidStage_2
SRR352195	PRJNA73819	PK-MFLW	Flower	Sample30_Flower	Sample30_Flower_3	NA	Mature	Flower	MidStage	Single	PRJNA73819_Flower_MidStage_1
SRR352196	PRJNA73819	PK-EFLW	Flower	Sample31_Flower	Sample31_Flower_1	NA	Mature	Flower	EarlyStage	Single	PRJNA73819_Flower_EarlyStage_1
SRR352198	PRJNA73819	PK-PFLW	Flower	Sample32_Bud	Sample32_Bud_1	NA	Mature	Bud	EarlyStage	Single	PRJNA73819_Flower_PreDevelopped_1
SRR352200	PRJNA73819	PK-SHT	Stem	Sample33_Shoot	Sample33_Shoot_1	NA	NA	Shoot	NA	Single	PRJNA73819_Shoot_unknown_1
SRR352201	PRJNA73819	PK-STM	Stem	Sample34_Stem	Sample34_Stem_1	NA	NA	Stem	NA	Single	PRJNA73819_Stem_unknown_1
SRR352202	PRJNA73819	PK-RT	Root	Sample35_Root	Sample35_Root_1	NA	NA	Root	NA	Single	PRJNA73819_Root_unknown_1
